月	0
日	1
国务院	2
召开	3
常务会议	4
会议	5
部署	6
加快	7
电动汽车	8
充电	9
基础设施	10
和	11
城市	12
停车场	13
建设	14
补	15
公共	16
服务	17
短板	18
促进	19
扩	20
内需	21
惠	22
民生	23
背后	24
桩	25
推广	26
速度	27
远远	28
跟不上	29
新能源	30
车	31
步伐	32
数据	33
显示	34
今年	35
汽车	36
累计	37
生产	38
万辆	39
同比	40
增长	41
倍	42
新华网	43
报道	44
电动	45
截至	46
月底	47
全国	48
保有量	49
约为	50
但是	51
同期	52
数	53
仅为	54
万	55
个	56
即	57
辆	58
才	59
拥有	60
缺口	61
巨大	62
根据	63
规划	64
至	65
年	66
要	67
达到	68
为此	69
匹配	70
充	71
换	72
电站	73
为	74
配比	75
接近	76
销量	77
呈几何	78
倍数	79
市场	80
看到	81
实现	82
可能	83
这一	84
目标	85
前提	86
设施	87
能	88
满足	89
使用	90
需求	91
中国	92
已是	93
全球	94
最大	95
国家	96
数量	97
之间	98
比例	99
多少	100
合适	101
范围内	102
没有	103
可	104
参照	105
对象	106
鉴于	107
时间长	108
要求	109
会	110
明显	111
高于	112
传统	113
需	114
达成	115
意味着	116
未来	117
五年	118
每年	119
新增	120
按照	121
均价	122
万元	123
充电站	124
座	125
估算	126
直接	127
市场规模	128
将	129
亿元	130
仅靠	131
力量	132
远远不够	133
还需要	134
自上而下	135
顶层	136
设计	137
支持	138
确定	139
新建	140
住宅	141
停车位	142
建	143
设或	144
预留	145
安装	146
应	147
大型	148
建筑物	149
不低于	150
此前	151
北京	152
广州	153
小区	154
配	155
到	156
一线	157
扩大到	158
全国范围	159
力度	160
可谓	161
空前	162
表态	163
放宽	164
准入	165
鼓励	166
民间	167
资	168
本以	169
独资	170
方式	171
参与	172
企业	173
个人	174
均可	175
投资	176
原则上	177
不对	178
泊位	179
做	180
下限	181
人在	182
自有	183
停车库	184
各单位	185
居住区	186
既有	187
停车	188
解决	189
短时间	190
难	191
盈利	192
问题	193
明确	194
加大	195
财税	196
金融	197
用地	198
价格	199
政策	200
扶持	201
通过	202
企业债券	203
专项基金	204
制定	205
相关	206
收费	207
办法	208
放开	209
社会	210
允许	211
向用	212
户	213
地方	214
采取	215
基金	216
注资	217
补助	218
拓宽	219
融资	220
渠道	221
习近平	222
出席	223
第	224
届	225
联合国	226
微	227
博	228
大会	229
一般性	230
辩论	231
发表	232
重要讲话	233
强调	234
继承	235
弘扬	236
联合国宪章	237
宗旨	238
原则	239
构建	240
合作	241
共	242
赢	243
核心	244
新型	245
国际关系	246
打造	247
人类	248
